"POWER","getsockname","send","kill","unlink","close","brk","open","getuid32","time","poll","writev","socket","chdir","getrlimit","pipe2","clone","mprotect","prctl","uname","getsockopt","sendmsg","recv","_llseek","gettimeofday","set_robust_list","stat64","fcntl64","munmap","getdents","connect","rt_sigprocmask","pipe","execve","setsockopt","getpeername","getdents64","write","rt_sigaction","read","futex","shutdown","set_thread_area","fstat64","lseek","statfs","recvmsg","madvise","access","clock_gettime","openat","getcwd","set_tid_address","getgid32","mmap2","ftruncate64","readlink"
"19.91862","8","2980","16","4","104","5","221","14","2","9848","44","8","0","1","4","3","29","3","8","4","3","51","0","308","4","53","97","45","2","8","4","3","1","16","4","8","2719","3","16752","4094","4","1","63","5","1","4235","3","32","16103","5","0","1","4","102","4","7"
"19.89873","8","2962","16","4","104","5","221","14","2","9806","44","8","0","1","4","3","29","3","8","4","3","51","0","308","4","53","97","45","2","8","4","3","1","16","4","8","2702","3","16741","4067","4","1","63","5","1","4226","3","32","16030","5","0","1","4","102","4","7"
"19.87802","8","2986","16","4","104","5","221","14","2","9859","44","8","0","1","4","3","29","3","8","4","3","50","0","308","4","53","97","45","2","8","4","3","1","16","4","8","2726","3","16753","4103","4","1","63","5","1","4238","3","32","16126","5","0","1","4","102","4","7"
"19.90546","6","153428","12","3","92","5","218","10","2","249363","33","6","2","1","3","2","34","2","6","3","2","37","5","95897","3","51","71","39","2","6","3","2","1","12","3","6","127842","3","44808","185349","3","1","60","0","1","185378","2","31","664811","5","2","1","3","101","3","5"
"19.98669","6","153426","12","3","92","5","218","10","2","249357","33","6","2","1","3","2","34","2","6","3","2","37","5","95895","3","51","71","39","2","6","3","2","1","12","3","6","127842","3","44808","185349","3","1","60","0","1","185376","2","31","664794","5","2","1","3","101","3","5"
"19.89937","6","153422","12","3","92","5","218","10","2","249356","33","6","2","1","3","2","34","2","6","3","2","37","5","95892","3","51","71","39","2","6","3","2","1","12","3","6","127842","3","44808","185349","3","1","60","0","1","185372","2","31","664788","5","2","1","3","101","3","5"
"19.92216","6","153414","12","3","92","5","218","10","2","249344","33","6","2","1","3","2","34","2","6","3","2","37","5","95886","3","51","71","39","2","6","3","2","1","12","3","6","127842","3","44808","185349","3","1","60","0","1","185364","2","31","664754","5","2","1","3","101","3","5"
"19.89816","6","153434","12","3","92","5","218","10","2","249367","33","6","2","1","3","2","34","2","6","3","2","37","5","95901","3","51","71","39","2","6","3","2","1","12","3","6","127842","3","44808","185349","3","1","60","0","1","185384","2","31","664824","5","2","1","3","101","3","5"
"19.92961","6","153424","12","3","92","5","218","10","2","249354","33","6","2","1","3","2","34","2","6","3","2","37","5","95895","3","51","71","39","2","6","3","2","1","12","3","6","127842","3","44808","185349","3","1","60","0","1","185374","2","31","664787","5","2","1","3","101","3","5"
"19.95807","8","153430","16","4","110","5","232","14","2","249390","44","8","2","1","4","3","34","3","8","4","3","49","5","95895","4","52","97","48","2","8","4","3","1","16","4","8","127844","3","44816","185354","4","1","68","0","1","185380","3","32","664819","6","2","1","4","110","4","7"
